t (min);service-gw-0;service-a-0;service-b-0;service-gw-1;service-a-1;service-b-1;service-gw-2;service-a-2;service-b-2;service-gw-3;service-a-3;service-b-3;service-gw-4;service-a-4;service-b-4;service-gw-5;service-a-5;service-b-5;service-gw-6;service-a-6;service-b-6;service-gw-7;service-a-7;service-b-7;service-gw-8;service-a-8;service-b-8;service-gw-9;service-a-9;service-b-9
68;16800;0;14000;16800;0;14000;16800;0;14000;16800;0;14000;16800;0;14000;16800;0;14000;16800;0;14000;16800;0;14000;16800;0;14000;16800;0;14000
70;17000;0;13000;17000;0;13000;17000;0;13000;17000;0;13000;17000;0;13000;17000;0;13000;17000;0;13000;17000;0;13000;17000;0;13000;17000;0;13000
72;17200;0;12000;17200;0;12000;17200;0;12000;17200;0;12000;17200;0;12000;17200;0;12000;17200;0;12000;17200;0;12000;17200;0;12000;17200;0;12000
74;17400;0;11000;17400;0;11000;17400;0;11000;17400;0;11000;17400;0;11000;17400;0;11000;17400;0;11000;17400;0;11000;17400;0;11000;17400;0;11000
76;17600;0;10000;17600;0;10000;17600;0;10000;17600;0;10000;17600;0;10000;17600;0;10000;17600;0;10000;17600;0;10000;17600;0;10000;17600;0;10000
78;17800;0;9000;17800;0;9000;17800;0;9000;17800;0;9000;17800;0;9000;17800;0;9000;17800;0;9000;17800;0;9000;17800;0;9000;17800;0;9000
80;18000;0;8000;18000;0;8000;18000;0;8000;18000;0;8000;18000;0;8000;18000;0;8000;18000;0;8000;18000;0;8000;18000;0;8000;18000;0;8000
82;18200;0;7000;18200;0;7000;18200;0;7000;18200;0;7000;18200;0;7000;18200;0;7000;18200;0;7000;18200;0;7000;18200;0;7000;18200;0;7000
84;18400;0;6000;18400;0;6000;18400;0;6000;18400;0;6000;18400;0;6000;18400;0;6000;18400;0;6000;18400;0;6000;18400;0;6000;18400;0;6000
86;18600;0;5000;18600;0;5000;18600;0;5000;18600;0;5000;18600;0;5000;18600;0;5000;18600;0;5000;18600;0;5000;18600;0;5000;18600;0;5000
88;18800;0;4000;18800;0;4000;18800;0;4000;18800;0;4000;18800;0;4000;18800;0;4000;18800;0;4000;18800;0;4000;18800;0;4000;18800;0;4000
90;19000;0;3000;19000;0;3000;19000;0;3000;19000;0;3000;19000;0;3000;19000;0;3000;19000;0;3000;19000;0;3000;19000;0;3000;19000;0;3000
92;19200;0;2000;19200;0;2000;19200;0;2000;19200;0;2000;19200;0;2000;19200;0;2000;19200;0;2000;19200;0;2000;19200;0;2000;19200;0;2000
94;19400;0;2000;19400;0;2000;19400;0;2000;19400;0;2000;19400;0;2000;19400;0;2000;19400;0;2000;19400;0;2000;19400;0;2000;19400;0;2000
96;19600;0;2000;19600;0;2000;19600;0;2000;19600;0;2000;19600;0;2000;19600;0;2000;19600;0;2000;19600;0;2000;19600;0;2000;19600;0;2000
98;19800;0;2000;19800;0;2000;19800;0;2000;19800;0;2000;19800;0;2000;19800;0;2000;19800;0;2000;19800;0;2000;19800;0;2000;19800;0;2000
100;20000;0;2000;20000;0;2000;20000;0;2000;20000;0;2000;20000;0;2000;20000;0;2000;20000;0;2000;20000;0;2000;20000;0;2000;20000;0;2000
102;20200;0;2000;20200;0;2000;20200;0;2000;20200;0;2000;20200;0;2000;20200;0;2000;20200;0;2000;20200;0;2000;20200;0;2000;20200;0;2000
104;20400;0;2000;20400;0;2000;20400;0;2000;20400;0;2000;20400;0;2000;20400;0;2000;20400;0;2000;20400;0;2000;20400;0;2000;20400;0;2000
106;20600;0;2000;20600;0;2000;20600;0;2000;20600;0;2000;20600;0;2000;20600;0;2000;20600;0;2000;20600;0;2000;20600;0;2000;20600;0;2000
108;20800;0;2000;20800;0;2000;20800;0;2000;20800;0;2000;20800;0;2000;20800;0;2000;20800;0;2000;20800;0;2000;20800;0;2000;20800;0;2000
110;21000;0;2000;21000;0;2000;21000;0;2000;21000;0;2000;21000;0;2000;21000;0;2000;21000;0;2000;21000;0;2000;21000;0;2000;21000;0;2000
112;21200;0;2000;21200;0;2000;21200;0;2000;21200;0;2000;21200;0;2000;21200;0;2000;21200;0;2000;21200;0;2000;21200;0;2000;21200;0;2000
114;21400;0;2000;21400;0;2000;21400;0;2000;21400;0;2000;21400;0;2000;21400;0;2000;21400;0;2000;21400;0;2000;21400;0;2000;21400;0;2000
116;21600;0;2000;21600;0;2000;21600;0;2000;21600;0;2000;21600;0;2000;21600;0;2000;21600;0;2000;21600;0;2000;21600;0;2000;21600;0;2000
118;21800;0;2000;21800;0;2000;21800;0;2000;21800;0;2000;21800;0;2000;21800;0;2000;21800;0;2000;21800;0;2000;21800;0;2000;21800;0;2000
120;22000;0;2000;22000;0;2000;22000;0;2000;22000;0;2000;22000;0;2000;22000;0;2000;22000;0;2000;22000;0;2000;22000;0;2000;22000;0;2000
